渔船ID,lat,lon,速度,方向,time,type
2330,30.72711111111111,122.91438888888894,2.0,191.0,2019-04-24 17:44:21,拖网
2330,30.722472222222233,122.91166666666668,1.8,182.0,2019-04-24 17:54:43,拖网
2330,30.70647222222221,122.91036111111113,3.8,107.0,2019-04-24 18:24:20,拖网
2330,30.70047222222223,122.91125,3.2,121.0,2019-04-24 18:34:19,拖网
2330,30.69441666666667,122.91133333333332,2.3,0.0,2019-04-24 18:44:20,拖网
2330,30.68858333333333,122.91147222222223,2.3,0.0,2019-04-24 18:54:20,拖网
2330,30.677194444444453,122.91161111111113,1.5,0.0,2019-04-24 19:14:19,拖网
2330,30.67136111111111,122.91269444444444,1.8,162.0,2019-04-24 19:24:43,拖网
2330,30.66619444444445,122.91366666666669,1.9,177.0,2019-04-24 19:34:19,拖网
2330,30.66086111111111,122.915,2.0,164.0,2019-04-24 19:44:19,拖网
2330,30.65586111111111,122.91672222222223,1.5,164.0,2019-04-24 19:54:19,拖网
2330,30.65083333333333,122.91822222222223,1.9,172.0,2019-04-24 20:04:19,拖网
2330,30.64536111111111,122.91844444444445,2.2,181.0,2019-04-24 20:14:19,拖网
2330,30.639833333333332,122.91813888888888,1.5,184.0,2019-04-24 20:24:43,拖网
2330,30.63483333333333,122.91761111111113,3.2,210.0,2019-04-24 20:34:19,拖网
2330,30.62986111111111,122.91691666666668,1.6,185.0,2019-04-24 20:44:19,拖网
2330,30.625138888888888,122.91641666666666,1.7,157.0,2019-04-24 20:54:19,拖网
2330,30.62025,122.91561111111113,1.9,223.0,2019-04-24 21:04:20,拖网
2330,30.615666666666666,122.91430555555556,1.5,215.0,2019-04-24 21:14:19,拖网
2330,30.61113888888889,122.91338888888893,1.7,197.0,2019-04-24 21:24:19,拖网
2330,30.60661111111111,122.912,1.7,0.0,2019-04-24 21:34:18,拖网
2330,30.60566666666667,122.90816666666667,1.2,300.0,2019-04-24 21:44:19,拖网
2330,30.604388888888888,122.90516666666667,1.9,213.0,2019-04-24 21:54:21,拖网
2330,30.60075,122.9002777777778,2.2,225.0,2019-04-24 22:04:44,拖网
2330,30.59711111111111,122.90988888888893,4.9,142.0,2019-04-24 22:14:22,拖网
